ID,Video Name,Release Date,Webpage URL,Video URL,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
139,heute journal-heute journal vom 7. November 2022 (Gebärdensprache)-1884765026,2022-11-07,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-7-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221107_sendung_hjo_dgs/1/221107_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1725,32",25,43133,08/01/2022,96.87,518,280,3557,24639
140,heute journal-heute journal vom 8. November 2022 (Gebärdensprache)-1954162306,2022-11-08,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-8-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221108_2145_sendung_hjo_dgs/1/221108_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1809,92",25,45248,08/01/2022,112.24,511,265,3579,24409
141,heute journal-heute journal vom 9. November 2022 (Gebärdensprache)-0201481506,2022-11-09,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-9-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221109_sendung_hjo_dgs/1/221109_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1672,64",25,41816,08/01/2022,94.28,431,238,3083,21062
142,heute journal-heute journal vom 10. November 2022 (Gebärdensprache)-0837042672,2022-11-10,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-10-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221110_2145_sendung_hjo_dgs/1/221110_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1758,28",25,43957,08/01/2022,124.11,500,302,3572,24559
143,heute journal-heute journal vom 11. November 2022 (Gebärdensprache)-1321255474,2022-11-11,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-11-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221111_2200_sendung_hjo_dgs/1/221111_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1808,68",25,45217,08/01/2022,127.96,511,320,3528,24743
144,heute journal-heute journal vom 12. November 2022 (Gebärdensprache)-0914929676,2022-11-12,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-12-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221112_2244_sendung_hjo_dgs/1/221112_2244_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"897,88",25,22447,08/01/2022,56.43,288,152,1864,13093
145,heute journal-heute journal vom 13. November 2022 (Gebärdensprache)-1625019958,2022-11-13,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-13-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221113_2145_sendung_hjo_dgs/1/221113_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1694,24",25,42356,08/01/2022,117.93,480,285,3452,23671
146,heute journal-heute journal vom 14. November 2022 (Gebärdensprache)-0144054244,2022-11-14,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-14-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221114_2145_t_hjo_dgs/1/221114_2145_t_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1689,88",25,42247,08/01/2022,90.61,546,299,3625,25134
147,heute journal-heute journal vom 16. November 2022 (Gebärdensprache)-0228760580,2022-11-16,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-16-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221116_2200_sendung_hjo_dgs/1/221116_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1991,36",25,49784,08/01/2022,136.27,593,325,4286,29365
148,heute journal-heute journal vom 17. November 2022 (Gebärdensprache)-1244000574,2022-11-17,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-17-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221117_2145_sendung_hjo_dgs/1/221117_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1689,96",25,42249,08/01/2022,107.13,518,280,3362,23344
149,heute journal-heute journal vom 18. November 2022 (Gebärdensprache)-1728213376,2022-11-18,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-18-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221118_2200_sendung_hjo_dgs/1/221118_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1813,92",25,45348,08/01/2022,114.17,562,272,3852,26627
150,heute journal-heute journal vom 19. November 2022 (Gebärdensprache)-1574951032,2022-11-19,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-19-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221119_2315_sendung_hjo_dgs/1/221119_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"879,64",25,21991,08/01/2022,46.19,240,151,1723,11711
151,heute journal-heute journal vom 20. November 2022 (Gebärdensprache)-1042115730,2022-11-20,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-20-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221120_2145_sendung_hjo_dgs/1/221120_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1665,92",25,41648,08/01/2022,102.96,481,262,3302,22732
152,heute journal-heute journal vom 21. November 2022 (Gebärdensprache)-0280327408,2022-11-21,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-21-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221121_2045_sendung_hjo_dgs/3/221121_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"553,76",25,13844,08/01/2022,29.94,168,95,1173,8113
153,heute journal-heute journal vom 22. November 2022 (Gebärdensprache)-1478025332,2022-11-22,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-22-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221122_2045_sendung_hjo_dgs/1/221122_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"528,28",25,13207,08/01/2022,33.33,161,85,1133,7956
154,heute journal-heute journal vom 23. November 2022 (Gebärdensprache)-1196834750,2022-11-23,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-23-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221123_2140_sendung_hjo_dgs/1/221123_2140_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1848,16",25,46204,08/01/2022,126.24,559,302,3985,27350
155,heute journal-heute journal vom 24. November 2022 (Gebärdensprache)-0859968008,2022-11-24,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-24-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221124_2045_sendung_hjo_dgs/1/221124_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"521,8",25,13045,08/01/2022,30.72,161,92,1083,7672
156,heute journal-heute journal vom 25. November 2022 (Gebärdensprache)-0938922312,2022-11-25,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-25-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221125_2200_sendung_hjo_dgs/1/221125_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1847,24",25,46181,08/01/2022,109.02,596,339,3986,27987
157,heute journal-heute journal vom 27. November 2022 (Gebärdensprache)-0071990722,2022-11-27,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-27-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221127_2045_sendung_hjo_dgs/1/221127_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"529,28",25,13232,08/01/2022,36.96,174,102,1208,8165
158,heute journal-heute journal vom 28. November 2022 (Gebärdensprache)-1804154498,2022-11-28,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-28-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221128_2145_sendung_hjo_dgs/1/221128_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1757,28",25,43932,08/01/2022,106.16,554,298,4055,28002
159,heute journal-heute journal vom 29. November 2022 (Gebärdensprache)-1044878466,2022-11-29,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-29-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221129_2145_sendung_hjo_dgs/3/221129_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1796,76",25,44919,08/01/2022,126.61,531,295,3624,25657
160,heute journal-heute journal vom 30. November 2022 (Gebärdensprache)-1936860270,2022-11-30,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-30-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221130_2045_sendung_hjo_dgs/1/221130_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"558,8",25,13970,08/01/2022,35.46,165,101,1059,7401
161,heute journal-heute journal vom 1. Dezember 2022 (Gebärdensprache)-0236683989,2022-12-01,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-1-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221201_2145_sendung_hjo_dgs/1/221201_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1799,04",25,44976,08/01/2022,115.84,500,308,3448,23387
162,heute journal-heute journal vom 2. Dezember 2022 (Gebärdensprache)-0369145575,2022-12-02,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-2-dezember-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/12/221202_2045_sendung_hjo_dgs/1/221202_2045_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,547,25,13675,08/01/2022,36.63,168,100,1135,7935
